unique_id_transa,id_transaccion,id_vehiculo,id_usuario,id_equipo,veh_site_id,pump_site_id,tank_site_id,user_site_id,producto,id_bomba,id_tanque,departamento,cantidad,codigo_error,timestamp,timestamp_stop,nombre_prod,veh_efficiency,volumen_inicial,volumen_final,temp_inicial,temp_final,volumen_comp_15_inicial,volumen_comp_15_final,cantidad_comp_15,codigo_producto,geo_latitud,geo_longitud,id_empresa,id_industria,industria
377220101009999,9999,90952,12708,377,000001,1,1,0000,0.0,11435,101885,0000,0.0,UE,2022-01-01 03:49:21,2022-01-01 03:49:21,Producto 0,0.0,,,,,,,0.0,,,,238,1.0,Transportation
504220101006768,6768,101866,6683,504,000001,1,1,0000,0.0,10980,101192,0000,158.416,C4,2022-01-01 00:00:36,2022-01-01 00:02:57,Product 1,0.0,,,,,,,158.416,Product 1,,,25,5.0,Distributor
534220101007334,7334,123844,34280,534,009593,1,1,3532,0.0,10922,101099,0000,109.515,C1,2022-01-01 02:21:27,2022-01-01 02:23:55,Diesel 500,0.0,18111.8,18002.1,30.2,30.2,17836.5,17728.5,107.85,0000,,,273,1.0,Transportation
878220101002206,2206,141769,46520,878,000103,2,1,0000,0.0,102713,102467,0014,80.002,C0,2022-01-01 02:42:11,2022-01-01 02:42:11,Gasoil GOM G3,0.0,6859.0,,5.9,,6921.42,,80.002,GOM G3,,,1142,2.0,Mining
898220101005224,5224,129356,29688,898,999014,2,1,0001,0.0,102408,102912,0002,734.9,BF,2022-01-01 00:15:56,2022-01-01 00:27:25,Diesel 500,0.0,,,,,,,734.9,Diesel 500,,,1083,1.0,Transportation
898220101005225,5225,128959,29688,898,050911,4,1,0001,0.0,102410,102912,0003,752.655,BF,2022-01-01 00:16:14,2022-01-01 00:33:41,Diesel 500,0.0,,,,,,,752.655,Diesel 500,,,1083,1.0,Transportation
898220101005226,5226,128947,29688,898,050710,4,1,0001,0.0,102410,102912,0003,466.937,C1,2022-01-01 00:47:01,2022-01-01 00:57:31,Diesel 500,0.0,,,,,,,466.937,Diesel 500,,,1083,1.0,Transportation
898220101005227,5227,128956,29688,898,050909,4,1,0001,0.0,102410,102912,0003,455.825,BF,2022-01-01 01:46:30,2022-01-01 01:56:42,Diesel 500,0.0,,,,,,,455.825,Diesel 500,,,1083,1.0,Transportation
1042220101000129,129,1000827,58310,1042,AAA500,1,1,0000,1.0,102975,103914,0002,230.005,C1,2022-01-01 02:16:04,2022-01-01 02:19:52,Ultra Diesel,0.0,41457.2,41238.7,24.0,24.0,41084.1,40867.6,227.935,,,,180,4.0,Agriculture
454220101000604,604,58754,5893,454,000003,1,1,0000,0.0,892,1120,FOGA,109.143,C1,2022-01-01 05:10:46,2022-01-01 05:14:05,Product 1,0.0,,,,,,,109.143,Product 1,,,118,6.0,Service Station
477220101000942,942,59719,5905,477,000000,6,1,0000,0.0,833,1010,0000,2.604,ES,2022-01-01 07:35:21,2022-01-01 07:35:21,VP Nafta,0.0,3974.03,3969.78,24.7,24.6,3935.48,3931.67,2.579,VP-Nafta,,,100,6.0,Service Station
477220101000943,943,59719,5905,477,000000,1,2,0000,1.0,828,1011,0000,10.008,ES,2022-01-01 07:36:21,2022-01-01 07:36:21,Super,0.0,5402.0,,26.1,,5342.04,,10.008,Super,,,100,6.0,Service Station
477220101000944,944,59719,5905,477,000000,2,2,0000,1.0,829,1011,0000,40.004,ES,2022-01-01 07:38:37,2022-01-01 07:38:37,Super,0.0,5402.0,,26.1,,5342.04,,40.004,Super,,,100,6.0,Service Station
906220101003944,3944,141584,29927,906,000034,1,1,0000,0.0,102473,102687,0005,77.086,C1,2022-01-01 00:50:56,2022-01-01 00:52:27,Gasoil GOM G3 Diesel,0.0,17323.8,16929.1,11.3,11.3,17387.8,16991.8,77.3712,GOM G3,,,1142,2.0,Mining
906220101003945,3945,1000554,29927,906,000183,1,1,0000,0.0,102473,102687,0005,56.075,C1,2022-01-01 01:09:01,2022-01-01 01:12:45,Gasoil GOM G3 Diesel,0.0,16929.1,16874.7,11.3,11.2,16991.8,16938.8,56.2881,GOM G3,,,1142,2.0,Mining
906220101003946,3946,141619,29927,906,000069,1,1,0000,0.0,102473,102687,0017,125.026,C1,2022-01-01 03:53:05,2022-01-01 03:55:27,Gasoil GOM G3 Diesel,0.0,16889.4,16755.5,10.9,10.8,16958.7,16825.9,125.551,GOM G3,,,1142,2.0,Mining
